03848P,國泰金元大03售02
063051,仁寶統一01購01
066533,南茂元富01購01
075114,日月光群益05購01
075879,T50反1凱基07購05
077573,冠德元大05購01
08443P,臺股指麥證01售02
3605,宏致
03478B,臺股指凱基09熊02
03748P,美律國票04售01
04007P,臺股指國票03售07
04761P,臺股指群益05售06
059882,臺股指凱基9C購06
070228,國喬國票03購01
078475,華新科統一08購03
2327,國巨
068610,牧德凱基01購05
072037,億光元大03購02
077533,景碩凱基06購02
072419,南亞科元富09購01
073374,松翰元大04購03
075988,達邁群益05購01
066284,松翰元大01購01
067413,臺股指中信04購02
074817,緯穎統一04購01
075850,群創富邦05購01
03948P,玉晶光凱基04售04
064681,牧德兆豐01購01
074164,啟碁凱基04購01
077358,新光鋼元大05購01
079024,華通元大06購02
04111P,台積電元大03售23
04618P,亞德客元大05售01
05392P,臺股指凱基06售24
067690,惠特元大01購04
070044,高鐵永豐02購01
079036,瑞昱元大07購01
05142P,欣興群益07售02
068580,聯電永豐01購02
069169,TPK元大02購02
069628,聯電元富04購01
073453,聯茂凱基05購01
076157,元金2X元大05購04
079327,聯發科群益08購03
073046,康控元富08購01
078099,長華統一08購02
08862P,台積電元大01售24
067362,眾達群益01購02
068405,玉晶光元富07購01
069257,康控凱基02購02
071747,日月光永豐03購01
078232,南亞科元富09購03
066847,群創元大01購03
067815,玉晶光凱基01購04
068762,牧德永豐02購01
071058,大立光凱基03購07
075964,台積電統一05購08
5284,jpp-KY
067085,臻鼎元大01購02
069456,鴻海麥證02購02
069523,南六凱基02購04
072279,聯電元大03購03
074192,啟碁國泰06購01
076923,欣陸統一07購01
079335,大立光日盛07購01
072337,世紀鋼永豐03購03
073348,大立光凱基07購01
072163,松翰國票04購01
074644,華邦電國票05購02
03688P,臺股指群益03售03
05285P,台積電群益06售07
078547,岱宇永豐06購01
079453,聯發科元富0C購01
5706,鳳凰
05194P,圓剛元富09售02
066517,智伸科永豐01購01
071217,高鐵統一03購01
071982,南茂國票04購01
077543,友達國票08購01
08921P,台灣50國泰03售01
065256,上銀元大9C購10
066983,禾伸堂群益01購01
068217,台達電統一03購01
070344,貿聯元大02購01
070806,儒鴻元大03購01
075506,台郡元大05購02
078858,台積電台新07購01
05439P,欣興元大06售03
068879,TPK凱基02購03
070055,台灣50兆豐03購04
071522,華邦電元富09購01
072519,奇鋐群益03購02
075826,南港統一05購01
05168P,宏碁元富0C售02
077853,祥碩元大06購01
2504,國產
03906P,臺股指凱基03售11
04250P,台船康和04售02
064145,宏碁統一02購01
076023,國揚元大05購03
020008,元大特股高息N
6706,惠特
065436,力成凱基02購01
066963,T50反1元富07購03
072796,可成國票05購02
07828P,SP黃豆凱基01售01
064149,美律統一02購01
066583,上証2X群益03購01
066844,聯發科元大01購12
03671P,臺股指中信05售06
068994,精成科永豐02購01
03322P,景碩凱基02售02
061830,元金2X凱基01購01
063150,聯發科元富05購03
063974,南電國票01購01
072393,台泥國票04購01
078872,大亞元大07購01
03407P,華新科國泰03售02
04880P,臺股指群益05售14
064455,美食統一01購03
068912,聯發科群益02購10
072847,聯茂元大04購01
078643,長榮凱基08購02
00657K,國泰日經225+U
03641P,上銀群益02售02
060875,華通中信02購01
078770,中興電群益07購01
073326,敬鵬國票05購01
079167,樺漢元大06購04
065036,世芯統一02購02
069564,儒鴻凱基02購01
075081,台表科凱基06購01
065924,東元國票02購01
066156,建準康和01購01
069168,景碩元大02購03
071957,智伸科凱基03購02
072465,聯電元富05購02
073551,聯發科群益04購04
074923,友訊元大04購01
078712,新興永豐06購02
1558,伸興
066054,創意元大01購02
061324,華新科凱基9C購01
072583,南電元富07購05
076653,致伸統一06購01
079222,聯發科凱基06購10
04850P,臺股指凱基05售20
066295,昇陽半元大01購01
067672,聯發科元大01購21
068414,聯電中信01購01
070312,可成中信03購02
072696,彩晶永豐03購02
076172,聯鈞元大05購01
077537,彩晶凱基08購02
075519,SGBR2X元富0B購01
077164,大立光元大05購17
062541,臻鼎國泰01購01
065354,金像電元富03購01
068603,京元電凱基03購01
074302,為升凱基04購01
075234,晶碩國票06購01
077402,智伸科凱基05購01
078623,華通群益07購01
08677P,超眾群益01售02
068742,A50群益02購01
068853,華新科統一02購03
068856,台達電元富08購01
069272,華通永豐02購01
072833,中橡元大07購01
078488,華邦電國票08購03
063331,瑞儀國票9C購01
069862,南茂永豐02購01
072716,聯茂國票04購03
04299P,大立光兆豐04售06
066116,宏達電兆豐01購01
066637,瀚宇博凱基01購02
068273,嘉晶永豐01購01
068496,景碩元大01購04
079662,鴻海元大07購04
04273P,上証2X群益04售02
064155,大立光統一01購05
065951,聯發科統一01購08
068690,喬山凱基03購01
074982,敬鵬永豐04購02
1808,潤隆
03691P,臺股指群益03售06
064742,奇鋐國票01購02
067779,滬深2X群益01購08
068669,國巨統一03購04
078633,華新科麥證06購01
04447P,臺股指群益04售15
04756P,世紀鋼凱基05售03
04661P,可成群益06售01
063441,台達電統一9C購01
065049,世芯凱基02購01
069984,玉晶光凱基04購01
075290,上緯控凱基05購01
066197,鴻海統一02購02
076934,宏達電國泰07購01
078837,奇力新兆豐06購02
078924,興勤永豐06購02
04038P,台積電凱基03售17
068429,裕隆凱基01購01
08866P,旭富元大01售01
2867,三商壽
05326P,台灣50國票06售04
064536,富邦金國票01購01
067984,SP黃豆元大01購04
074296,奇鋐兆豐04購03
076879,義隆元大05購05
077395,長榮凱基05購05
064298,台灣50兆豐01購02
069360,聯發科永豐02購03
071680,樺漢凱基03購01
1451,年興
04508P,台灣50國票05售02
059476,道瓊指群益9C購01
065810,台表科群益9C購05
067189,牧德凱基02購02
068190,台積電凱基01購20
070232,台積電國票03購11
073952,嘉晶凱基04購02
4576,大銀微系統
03378P,台積電群益02售10
064157,健鼎統一01購02
070687,臺股指群益03購01
070763,聯發科國泰04購05
075403,萬海統一07購02
076631,鴻海元大07購03
079255,亞光元大06購03
063990,世芯永豐01購01
067759,美食永豐01購01
068499,京鼎元大01購07
071062,貿聯凱基04購01
077942,微星統一08購01
08957P,聯電凱基03售02
00632R,元大台灣50反1
066205,京鼎統一03購01
070244,玉晶光台新02購03
077812,南電統一09購01
08422P,玉晶光群益02售03
3296,勝德
074558,友達凱基04購04
074562,欣興凱基04購06
074969,中石化富邦06購01
1231,聯華食
03539P,牧德元富08售01
061652,T50反1國票9C購01
065738,國巨麥證9C購04
070282,聯發科凱基08購01
078573,聯電元大06購11
04535P,聯發科元富05售05
071061,智易凱基03購01
071975,臺股指元大03購21
073727,玉晶光國票05購04
074756,瀚宇博永豐04購01
03331P,臺股指群益02售05
062924,世紀鋼元大9C購04
064165,同欣電統一01購01
073329,友達國票06購01
074090,嘉澤富邦06購01
075284,精元凱基05購01
04099P,臺指2X凱基04售01
065394,英業達群益9C購01
070354,國巨國票02購07
072418,正隆元富09購01
075120,東鋼凱基05購01
068401,瑞昱元富07購03
072555,聯電統一04購07
073515,瑞軒國票05購01
073553,欣興群益04購01
078849,國巨統一07購05
064150,全新統一01購03
064821,聯電統一02購01
